gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-3
grub 2:2.12rc1-1
grub-btrfs 4.13-1
grub-garuda 2.06-1
grub-theme-garuda-dr460nized r2.49d1e5e-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.2-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.5-1
gst-plugin-pipewire 1:0.3.76-2
gst-plugins-bad 1.22.5-1
gst-plugins-bad-libs 1.22.5-1
gst-plugins-base 1.22.5-1
gst-plugins-base-libs 1.22.5-1
gst-plugins-espeak 0.5.0-4
gst-plugins-good 1.22.5-1
gst-plugins-ugly 1.22.5-1
gstreamer 1.22.5-1
gstreamer-meta 1-4
gstreamer-vaapi 1.22.5-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.10.4-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.10.4-1
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtkspell3 3.0.10-2
guile 3.0.9-1
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gvfs 1.50.5-1
gvfs-afc 1.50.5-1
gvfs-gphoto2 1.50.5-1
gvfs-mtp 1.50.5-1
gvfs-nfs 1.50.5-1
gvfs-smb 1.50.5-1
gwe 0.15.5-3.5
gzip 1.12-2
harfbuzz 8.0.1-1
harfbuzz-icu 8.0.1-1
hblock 3.4.2-1
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.5-1
hostapd 2.10-2
htop 3.2.2-1
http-parser 2.9.4-1
hwdata 0.372-1
hwinfo 23.2-1
hwloc 2.9.1-1
hyphen 2.8.8-5
i3lock 2.14.1-1
iana-etc 20230629-1
icu 73.2-2
iio-sensor-proxy 3.4-1
ijs 0.35-5
imagemagick 7.1.1.15-1
imath 3.1.9-1
imlib2 1.11.1-1
inetutils 2.4-1
iniparser 4.1-4
input-devices-support 1.0.2-2
intel-gmmlib 22.3.3-1
intel-media-driver 23.3.0-1
intel-ucode 20230613-1
inxi 3.3.28.1-1
iproute2 6.4.0-1
iptables-nft 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
iw 5.19-2
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 23.04.3-1
kactivities 5.108.0-1
karchive 5.108.0-1
kauth 5.108.0-1
kbd 2.6.1-1
kbookmarks 5.108.0-1
kcmutils 5.108.0-1
kcodecs 5.108.0-1
kcolorchooser 23.04.3-1
kcompletion 5.108.0-1
kconfig 5.108.0-1
kconfigwidgets 5.108.0-1
kcoreaddons 5.108.0-1
kcrash 5.108.0-1
kdbusaddons 5.108.0-1
kdeclarative 5.108.0-1
kded 5.108.0-1
kdnssd 5.108.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kernel-modules-hook 0.1.7-2
keyutils 1.6.3-2
kglobalaccel 5.108.0-1
kguiaddons 5.108.0-1
ki18n 5.108.0-1
kiconthemes 5.108.0-1
kio 5.108.0-1
kio-extras 23.04.3-1
kirigami2 5.108.0-1
kitemmodels 5.108.0-1
kitemviews 5.108.0-1
kjobwidgets 5.108.0-1
kjs 5.108.0-1
kmod 30-3
knotifications 5.108.0-1
kpackage 5.108.0-1
kparts 5.108.0-1
kpty 5.108.0-1
krb5 1.20.1-1
kservice 5.108.0-1
ktextwidgets 5.108.0-1
kvantum 1.0.10-1
kwallet 5.108.0-2
kwayland 5.108.0-1
kwidgetsaddons 5.108.0-1
kwindowsystem 5.108.0-1
kxmlgui 5.108.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
leftwm 0.4.2-2
leftwm-theme-git r94.6825f36-1
lensfun 1:0.3.4-3
less 1:633-1
lhasa 0.3.1-3
lib32-alsa-lib 1.2.9-1
lib32-alsa-plugins 1.2.7.1-2
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-cairo 1.17.8-2
lib32-curl 8.2.1-1
lib32-dbus 1.14.8-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-fontconfig 2:2.14.2-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.1-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-2
lib32-glew 2.2.0-4
lib32-glib2 2.76.4-1
lib32-glibc 2.37-4
lib32-glu 9.0.2-3
lib32-harfbuzz 8.0.1-1
lib32-icu 73.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libcap 2.69-1
lib32-libdatrie 0.2.13-2
lib32-libdecor 0.1.1-1
lib32-libdrm 2.4.115-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.2-1
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.47-1
lib32-libice 1.1.1-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.4-1
lib32-libpciaccess 0.17-1
lib32-libpipewire 1:0.3.76-1
lib32-libpng 1.6.40-2
lib32-libpsl 0.21.2-1
lib32-libsm 1.2.4-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libthai 0.1.29-2
lib32-libtirpc 1.3.3-2
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libva 2.19.0-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 23.1.4-2
lib32-libx11 1.8.6-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.15-2
lib32-libxcrypt 4.4.36-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxft 2.3.8-1
lib32-libxi 1.8.1-1
lib32-libxkbcommon 1.5.0-1
lib32-libxkbcommon-x11 1.5.0-1
lib32-libxml2 2.11.4-1
lib32-libxmu 1.1.4-1
lib32-libxrandr 1.5.3-1
lib32-libxrender 0.9.11-1
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.3-3
lib32-libxt 1.3.0-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 15.0.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 23.1.4-2
lib32-mesa-demos 9.0.0-1
lib32-mesa-vdpau 23.1.4-2
lib32-ncurses 6.4_20230520-1
lib32-nspr 4.35-1
lib32-nss 3.92-1
lib32-nvidia-utils 535.86.05-1
lib32-ocl-icd 2.3.2-1
lib32-opencl-nvidia 535.86.05-1
lib32-openssl 1:3.1.1-1
lib32-p11-kit 0.25.0-1
lib32-pam 1.5.3-1
lib32-pango 1:1.50.14-1
lib32-pcre2 10.42-1
lib32-pipewire 1:0.3.76-1
lib32-pipewire-jack 1:0.3.76-1
lib32-pixman 0.42.2-1
lib32-sqlite 3.42.0-1
lib32-systemd 254-1
lib32-util-linux 2.39.1-1
lib32-vulkan-icd-loader 1.3.255-1
lib32-vulkan-intel 23.1.4-2
lib32-vulkan-mesa-layers 23.1.4-2
lib32-vulkan-radeon 23.1.4-2
lib32-wayland 1.22.0-1
lib32-xz 5.4.3-1
lib32-zlib 1.2.13-2
lib32-zstd 1.5.5-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libadwaita 1:1.3.3-1
libaio 0.3.113-2
libappindicator-gtk3 12.10.0.r298-2
libarchive 3.7.1-1
libass 0.17.1-1
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 0.11.1-1
libavtp 0.2.0-2
libb2 0.98.1-2
libblockdev 2.28-4
libbluray 1.3.4-1
libbpf 1.2.2-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcamera 0.1.0-1
libcamera-ipa 0.1.0-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcbor 0.10.2-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libconfig 1.7.3-2
libcups 1:2.4.6-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdazzle 3.44.0-1
libdbusmenu-glib 16.04.0.r498-1
libdbusmenu-gtk3 16.04.0.r498-1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.12-1
libdecor 0.1.1-2
libdrm 2.4.115-1
libdv 1.0.0-11
libdvdcss 1.4.3-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libedit 20221030_3.1-1
libelf 0.189-2
libepoxy 1.5.10-2
libev 4.33-2
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.7-1
libfprint 1.94.5-1
libfreeaptx 0.1.1-1
libftdi 1.5-5
libgcrypt 1.10.2-1
libgexiv2 0.14.1-1
libgirepository 1.76.1-3
libgit2 1:1.7.0-3
libglvnd 1.6.0-1
libgme 0.6.3-4
libgpg-error 1.47-1
libgphoto2 2.5.30-2
libgsf 1.14.50-1
libgudev 238-1
libgusb 0.4.6-1
libheif 1.16.2-1
libical 3.0.16-5
libice 1.1.1-2
libid3tag 0.15.1b-12
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.2.0-1
libimobiledevice 1.3.0-9
libinih 56-1
libinput 1.23.0-1
libinput-gestures 2.74-1
libinstpatch 1.1.6-2
libisl 0.26-1
libjcat 0.1.14-1
libjpeg-turbo 2.1.5.1-1
libjxl 0.8.2-1
libkate 0.4.1-9
libkexiv2 23.04.3-1
libksba 1.6.4-1
liblc3 1.0.3-1
libldac 2.0.2.3-1
libldap 2.6.4-2
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libmanette 0.2.6-5
libmaxminddb 1.7.1-1
libmbim 1.28.4-1
libmd 1.1.0-1
libmfx 23.2.2-1
libmicrodns 0.2.0-1
libmm-glib 1.20.6-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpeg2 0.5.1-8
libmtp 1.1.21-1
libmypaint 1.6.1-1
libmysofa 1.3.1-2
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.5-1
libnghttp2 1.55.1-1
libnice 0.1.21-2
libnl 3.7.0-3
libnm 1.42.6-1
libnotify 0.8.2-1
libnsl 2.0.0-3
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.2-1
libopenraw 0.3.7-1
libopusenc 0.2.1-4
libp11-kit 0.25.0-1
libpaper 2.1.1-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpgm 5.3.128-3
libpipeline 1.5.7-1
libpipewire 1:0.3.76-2
libplacebo 5.264.1-2
libplist 2.3.0-2
libpng 1.6.40-2
libproxy 0.5.3-1
libpsl 0.21.2-1
libpulse 16.1-6
libqmi 1.32.4-1
libqrtr-glib 1.2.2-2
libraqm 0.10.1-1
libraw 0.21.1-2
libraw1394 2.1.2-3
librsvg 2:2.56.3-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.4-2
libsecret 0.20.5-2
libshout 1:2.4.6-2
libsigc++ 2.12.0-1
libsm 1.2.4-1
libsmbios 2.4.3-6
libsndfile 1.2.0-1
libsodium 1.0.18-2
libsonic 0.2.0-1
libsoup 2.74.3-1
libsoup3 3.4.2-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libspiro 1:20221101-2
libsrtp 1:2.5.0-1
libssh 0.10.5-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsysprof-capture 3.48.0-3
libtasn1 4.19.0-1
libteam 1.31-8
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.5.1-1
libtirpc 1.3.3-2
libtool 2.4.7+4+g1ec8fa28-6
libtraceevent 1:1.7.3-1
libtracefs 1.7.0-1
libunistring 1.1-2
libunwind 1.6.2-2
liburcu 0.14.0-1
libusb 1.0.26-2
libusb-compat 0.1.8-1
libusbmuxd 2.0.2-3
libutempter 1.2.1-3
libutf8proc 2.8.0-1
libuv 1.46.0-1
libva 2.19.0-1
libva-intel-driver 2.4.1-2
libva-mesa-driver 23.1.4-2
libva-utils 2.19.0-1
libvdpau 1.5-1
libvdpau-va-gl 0.4.2-3
libverto 0.3.2-4
libvorbis 1.3.7-3
libvpx 1.13.0-1
libwacom 2.7.0-1
libwbclient 4.18.5-2
libwebp 1.3.1-1
libwireplumber 0.4.14-1
libwmf 0.2.13-1
libwpe 1.14.1-2
libx11 1.8.6-1
libx86emu 3.5-3
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.15-2
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxml2 2.11.4-1
libxmlb 0.3.11-1
libxmu 1.1.4-1
libxnvctrl 535.86.05-1
libxpm 3.5.16-1
libxpresent 1.0.1-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.3-4
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
licenses 20230729-1
lilv 0.24.20-2
linux-api-headers 6.4-1
linux-firmware 20230625.ee91452d-5
linux-firmware-whence 20230625.ee91452d-5
linux-wifi-hotspot 4.5.0-1
linux-zen 6.4.7.zen1-2
linux-zen-headers 6.4.7.zen1-2
linuxconsole 1.8.1-1
lirc 1:0.10.2-3
llvm-libs 15.0.7-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
logrotate 3.21.0-2
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lsof 4.98.0-1
lua 5.4.6-1
luajit 2.1.0.beta3.r493.g8635cbab-1
lv2 1.18.10-1
lvm2 2.03.21-1
lxappearance-gtk3 0.6.3-4
lxinput-gtk3 0.3.5-3
lxmenu-data 0.1.5-3
lxrandr 0.3.2-3
lxsession 1:0.5.5-2
lxtask-gtk3 0.1.10-2
lz4 1:1.9.4-1
lzip 1.23-2
lzo 2.10-5
lzop 1.04-3
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.04-1
mbedtls 3.4.0-3
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
memtest86+ 6.20-1
menu-cache 1.1.0-4
mercurial 6.5-1
mesa 23.1.4-2
mesa-demos 9.0.0-2
mesa-vdpau 23.1.4-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db-garuda-git 1:r63.2f652e8-3
mhwd-garuda-git r22.b935c24-1
mhwd-nvidia 525.60.11-1
mhwd-nvidia-390xx 390.143-1
mhwd-nvidia-470xx 470.94-1
minizip 1:1.2.13-3
mjpegtools 2.2.1-2
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modem-manager-gui 0.0.20-2
modemmanager 1.20.6-1
mousetweaks 3.32.0-2
movit 1.7.0-1
mpfr 4.2.0.p12-2
mpg123 1.31.3-1
mpv 1:0.36.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
mypaint-brushes1 1.3.1-1
nano 7.2-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neofetch 7.1.0-2
neon 0.32.5-2
net-tools 2.10-2
nettle 3.9.1-1
network-manager-sstp 1.3.1-2
networkmanager 1.42.6-1
networkmanager-fortisslvpn 1.4.0-2
networkmanager-l2tp 1.20.8-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
networkmanager-pptp 1.2.12-1
networkmanager-strongswan 1.6.0-1
networkmanager-support 1-6
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.7-2
nilfs-utils 2.2.9-2
nlohmann-json 3.11.2-1
nm-cloud-setup 1.42.6-1
nmap 7.94-1
nnn 4.8-1
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 1:23.8.1-1
noto-fonts-cjk 20220126-2
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.92-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
numlockx 1.2-5
nvidia-dkms 535.86.05-2
nvidia-prime 1.0-4
nvidia-settings 535.86.05-1
nvidia-utils 535.86.05-2
nwg-launchers 0.7.1-1.3
oath-toolkit 2.6.9-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
octopi 0.14.0-2
okular 23.04.3-1
onetbb 2021.9.0-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencl-nvidia 535.86.05-2
openconnect 1:9.12-1
opencore-amr 0.1.6-1
opencv 4.8.0-3
openexr 3.1.9-1
openfortivpn 1.20.5-1
openjpeg2 2.5.0-2
openldap 2.6.4-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openresolv 3.13.2-1
openssh 9.3p2-1
openssl 3.1.1-1
opentimelineio 0.15-3
openvpn 2.6.5-1
opus 1.4-1
opus-tools 0.2-5
opusfile 0.12-3
